"DESCRICAO","QTD"
"Atividades de apoio à agricultura não especificadas anteriormente",50310
"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",41439
"Extração de minério de ferro",3690
"Fabricação de vinagres",9151
"Serviço de inseminação artificial em animais",3782
"Abate de pequenos animais",1078
"Fabricação de partes para calçados, de qualquer material",49796
"Cultivo de cana-de-açúcar",191833
"Extração de minério de níquel",429
"Refino e outros tratamentos do sal",437
"Coleta de palmito em florestas nativas",514
"Extração de areia, cascalho ou pedregulho e beneficiamento associado",24304
"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",305650
"Cultivo de arroz",13811
"Extração de minerais radioativos",265
"Criação de outros animais não especificados anteriormente",3516
"Fabricação de formulários contínuos",780
"Cultivo de fumo",710
"Produção de carvão vegetal - florestas nativas",11232
"Cultivo de acácia-negra",790
"Extração de madeira em florestas plantadas",28407
"Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente",3763
"Fabricação de bebidas isotônicas",404
"Fabricação de papel",3916
"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",32744
"Confecção de roupas íntimas",91591
"Criação de bovinos para corte",304529
"Extração de calcário e dolomita e beneficiamento associado",2711
"Atividades de apoio à extração de minério de ferro",3205
"Criação de aves, exceto galináceos",3825
"Fabricação de calçados de materiais não especificados anteriormente",32752
"Fabricação de laticínios",40625
"Fabricação de cartolina e papel-cartão",314
"Extração de madeira em florestas nativas",12378
"Fabricação de artefatos têxteis para uso doméstico",51333
"Cultivo de café",51228
"Serrarias com desdobramento de madeira em bruto",53783
"Produção de sementes certificadas, exceto de forrageiras para pasto",16764
"Fabricação de artefatos diversos de madeira, exceto móveis",123672
"Atividades de apoio à produção florestal",26207
"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",71702
"Fabricação de gelo comum",14839
"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",102596
"Cultivo de maçã",837
"Extração de grafita",232
"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",2345
"Cultivo de milho",186299
"Cultivo de morango",3229
"Cultivo de pêssego",1400
"Fabricação de calçados de couro",55448
"Fabricação de produtos para infusão (chá, mate, etc.)",6791
"Fabricação de artefatos de tanoaria e de embalagens de madeira",14836
"Fabricação de meias",2985
"Tecelagem de fios de algodão",4180
"Fabricação de vinho",2808
"Cultivo de mandioca",31813
"Cultivo de abacaxi",4467
"Frigorífico - abate de bufalinos",485
"Extração de minério de alumínio",1093
"Extração e britamento de pedras e outros materiais para construção e beneficiamento associado",11365
"Fabricação de tecidos especiais, inclusive artefatos",5064
"Criação de eqüinos",12946
"Cultivo de caju",1132
"Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas",2342
"Torrefação e moagem de café",9082
"Cultivo de frutas de lavoura permanente não especificadas anteriormente",21692
"Fabricação de açúcar de cana refinado",741
"Fabricação de farinha de mandioca e derivados",10640
"Fabricação de açúcar em bruto",5669
"Produção de pintos de um dia",2359
"Acabamento de calçados de couro sob contrato",29536
"Atividades de apoio à pecuária não especificadas anteriormente",19845
"Fabricação de fraldas descartáveis",6120
"Ranicultura",1733
"Cultivo de cacau",1460
"Facção de roupas íntimas",59686
"Criação de bicho-da-seda",741
"Cultivo de açaí",1890
"Abate de aves",18345
"Beneficiamento de carvão mineral",450
"Fabricação de embalagens de papel",19927
"Criação de escargô",54
"Cultivo de melancia",7055
"Fabricação de águas envasadas",4389
"Produção de carvão vegetal - florestas plantadas",16554
"Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas",2573
"Cultivo de guaraná",265
"Fabricação de refrigerantes",3432
"Matadouro - abate de reses sob contrato - exceto abate de suínos",2334
"Produção de ovos",8854
"Conservação de florestas nativas",3250
"Pesca de peixes em água salgada",5058
"Tecelagem de fios de fibras têxteis naturais, exceto algodão",5042
"Facção de peças do vestuário, exceto roupas íntimas",327398
"Serviço de preparação de terreno, cultivo e colheita",94491
"Cultivo de eucalipto",38549
"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",24310
"Cultivo de alho",1171
"Fabricação de absorventes higiênicos",3605
"Extração de mármore e beneficiamento associado",2514
"Fabricação de produtos à base de café",802
"Apicultura",10728
"Preparação do leite",5606
"Criação de animais de estimação",20662
"Fabricação de frutas cristalizadas, balas e semelhantes",21355
"Cultivo de uva",12302
"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",1785
"Extração de minérios de nióbio e titânio",1335
"Fabricação de outros produtos alimentícios não especificados anteriormente",30370
"Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente",15344
"Extração de outros minerais não-metálicos não especificados anteriormente",6247
"Atividades de pós-colheita",12789
"Criação de bovinos para leite",156122
"Fabricação de pós alimentícios",1072
"Coleta de castanha-do-pará em florestas nativas",678
"Coleta de látex em florestas nativas",2352
"Cultivo de seringueira",29339
"Fabricação de tênis de qualquer material",2913
"Pesca de crustáceos e moluscos em água doce",814
"Coleta de outros produtos marinhos",238
"Cultivo de soja",76627
"Fabricação de embalagens de cartolina e papel-cartão",12974
"Atividades de apoio à extração de petróleo e gás natural",2765
"Cultivo de teca",1035
"Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente",3348
"Produção de sementes certificadas de forrageiras para formação de pasto",5468
"Cultivo de erva-mate",416
"Atividades de apoio à aqüicultura em água doce",2450
"Facção de roupas profissionais",53285
"Cultivo de algodão herbáceo",8609
"Criação de bovinos, exceto para corte e leite",38169
"Cultivo de outras plantas de lavoura permanente não especificadas anteriormente",11329
"Fabricação de açúcar de cereais (dextrose) e de beterraba",39
"Atividades de apoio à aqüicultura em água salgada e salobra",1082
"Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais",19767
"Serrarias sem desdobramento de madeira em bruto  -Resserragem",11617
"Criação de bufalinos",3414
"Fabricação de biscoitos e bolachas",52313
"Fabricação de outras aguardentes e bebidas destiladas",3084
"Processamento industrial do fumo",894
"Cultivo de outras fibras de lavoura temporária não especificadas anteriormente",7288
"Fabricação de sucos concentrados de frutas, hortaliças e legumes",19628
