empresa,cnpj,state,natureza_legal,quantidade_natureza_legal,total_capital,quantidade_socios
B. R. SERVICOS MEDICOS S/S LTDA,03807975,SP,Sociedade Simples Limitada,2029,7.8E6,78
MED-CLIN MARIENSE LTDA,03776660,MG,Sociedade Empresária Limitada,14353,1.10505E7,53
LEONARDO VILELA SERVICOS MEDICOS,03788721,RJ,Sociedade Simples Pura,219,1.35E7,45
MEDSOV MEDICOS SOCORRISTAS S/S LTDA,03696530,ES,Sociedade Simples Limitada,2029,2.5148286E7,38
NEO PED CLINICA INFANTIL S/C LTDA,03725789,SP,Sociedade Simples Limitada,2029,8.55625E7,37
MICELI SOCIEDADE DE ADVOGADOS,03691418,RJ,Sociedade Simples Pura,219,1.85E8,37
AZIMUT BRASIL WEALTH MANAGEMENT LTDA,03829051,SP,Sociedade Empresária Limitada,14353,5.8839957E9,33
INCOR RIO PRETO LTDA,03747869,SP,Sociedade Simples Limitada,2029,5.1776E7,32
SOCIEDADE DE ANESTESIOLOGIA DE DOURADOS SS LTDA,03785651,MS,Sociedade Simples Limitada,2029,5.604552E8,31
IZIQUE CHEBABI ADVOGADOS ASSOCIADOS,03737433,SP,Sociedade Simples Pura,219,1.5E7,30
EPICENTRO - RIO DE JANEIRO LTDA,03824806,RJ,Sociedade Simples Limitada,2029,8.624E7,28
CENTRO DE FORMACAO DE CONDUTORES BRASIL RIO PRETO LTDA,03815652,SP,Sociedade Empresária Limitada,14353,1.07576E8,28
ARTW SERVICOS MEDICOS,03738617,SP,Sociedade Simples Pura,219,1.647E7,27
ICTS GLOBAL LTDA,03720991,SP,Sociedade Empresária Limitada,14353,7.510131E8,27
H L 523 LTDA,03819329,SP,Sociedade Empresária Limitada,14353,3.6E8,24
INTENSICOR SERVICOS MEDICOS LTDA,03771395,RJ,Sociedade Simples Limitada,2029,7.291E6,23
CENTRO DE TOMOGRAFIA JOINVILLE LTDA.,03793804,SC,Sociedade Empresária Limitada,14353,3.864E9,23
SEMES - SERVICO MEDICO ESPECIALIZADO DE SACRAMENTO LTDA,03804942,MG,Sociedade Simples Limitada,2029,4.84E6,22
INCOR RIO PRETO NUCLEAR LTDA,03703202,SP,Sociedade Empresária Limitada,14353,7.392E7,22
