"MUNICIPIO","NATUREZA_JURIDICA","QTD"
"PEDREIRAS","Sociedade de Economia Mista",8
"BREJO","Sociedade de Economia Mista",4
"CHAPADINHA","Sociedade de Economia Mista",8
"BARAO_DE_GRAJAU","Sociedade de Economia Mista",3
"PORTO_FRANCO","Sociedade de Economia Mista",6
"CAXIAS","Sociedade Empresária Limitada",1956
"ARARI","Empresário (Individual)",1379
"PINHEIRO","Empresa Individual Imobiliária",35
"ZE_DOCA","Empresário (Individual)",2138
"TIMON","Empresa Individual Imobiliária",40
"BOM_JESUS_DAS_SELVAS","Associação Privada",302
"BARRA_DO_CORDA","Empresário (Individual)",4815
"SAO_VICENTE_FERRER","Associação Privada",280
"SAO_BENEDITO_DO_RIO_PRETO","Empresário (Individual)",462
"VITORIA_DO_MEARIM","Sociedade Empresária Limitada",197
"ALTO_PARNAIBA","Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)",31
"PINDARE_MIRIM","Serviço Notarial e Registral (Cartório)",10
"SAO_ROBERTO","Associação Privada",67
"MARANHAOZINHO","Associação Privada",137
"IMPERATRIZ","Sociedade Empresária em Nome Coletivo",39
"DOM_PEDRO","Empresa Pública",5
"SANTA_LUZIA_DO_PARUA","Empresa Pública",1
"CODO","Sociedade Simples Limitada",4
"CAJAPIO","Empresário (Individual)",197
"POCAO_DE_PEDRAS","Órgão Público do Poder Legislativo Municipal",1
"PEDREIRAS","Entidade Sindical",19
"SENADOR_LA_ROCQUE","Sociedade Empresária Limitada",96
"BARAO_DE_GRAJAU","Sociedade Empresária Limitada",150
"PORTO_FRANCO","Sociedade Anônima Fechada",17
"SAO_LUIS","Sociedade Empresária em Comandita por Ações",4
"TUTOIA","Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)",46
"CENTRAL_DO_MARANHAO","Associação Privada",86
"VITORIA_DO_MEARIM","Entidade Sindical",12
"CENTRO_NOVO_DO_MARANHAO","Sociedade Empresária Limitada",72
"LAGOA_GRANDE_DO_MARANHAO","Associação Privada",140
"FORTALEZA_DOS_NOGUEIRAS","Órgão Público do Poder Executivo Municipal",1
"TIMBIRAS","Organização Religiosa",6
"VITORIA_DO_MEARIM","Cooperativa",6
"CAJARI","Órgão de Direção Local de Partido Político",40
"ROSARIO","Empresa Individual Imobiliária",6
"BACABEIRA","Associação Privada",135
"SAO_PEDRO_DA_AGUA_BRANCA","Município",2
"SERRANO_DO_MARANHAO","Município",1
"SANTANA_DO_MARANHAO","Município",1
"SENADOR_ALEXANDRE_COSTA","Órgão Público do Poder Legislativo Municipal",1
"SAO_FRANCISCO_DO_BREJAO","Sociedade Empresária Limitada",48
"SAO_FELIX_DE_BALSAS","Sociedade Empresária Limitada",28
"LAGOA_GRANDE_DO_MARANHAO","Sociedade Empresária Limitada",17
