root_cnpj,cnpj_est,name,date_start,situation,situationDate,cidade,porte,activity
03831907,03831907000190,UNIDADE ESCOLAR PEDRO FONSECA,2000-05-10,Ativa,2019-08-29,SAO VICENTE FERRER,DEMAIS,Ensino fundamental
03778304,03778304000172,PARTIDO DEMOCRATICO TRABALHISTA - DIRETORIO MUNICIPAL DE CAJ,2000-04-13,Baixada,2015-02-09,CAJAPIO,DEMAIS,Atividades de organizações políticas
03748470,03748470000126,M.DO S. DE S.PITOMBEIRA,2000-04-07,Inapta,2018-11-06,SAO LUIS,MICRO EMPRESA,"Comércio varejista de discos, CDs, DVDs e fitas"
03801954,03801954000191,MAURO A S DE ABREU,2000-05-10,Inapta,2018-11-06,SAO LUIS,MICRO EMPRESA,"Artes cênicas, espetáculos e atividades complementares não especificados anteriormente"
03684972,03684972000130,ASSEMBLEIA DE DEUS ROCHA ETERNA,1999-12-16,Inapta,2018-09-18,SAO LUIS,DEMAIS,Atividades de organizações religiosas ou filosóficas
03751089,03751089000116,W. S. DO NASCIMENTO,2000-04-07,Baixada,2007-11-19,CHAPADINHA,MICRO EMPRESA,Comércio varejista especializado de instrumentos musicais e acessórios
03734578,03734578000160,E DE J C SA,2000-04-04,Baixada,2017-02-20,SAO LUIS,DEMAIS,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente
03758070,03758070000100,UNIAO DAS DONAS DE CASA -MUNICIPIO DE TUFILANDIA-MA.,1999-10-19,Inapta,2018-09-18,TUFILANDIA,DEMAIS,Atividades de associações de defesa de direitos sociais
03710369,03710369000186,L F FARIAS COMERCIO,2000-03-21,Inapta,2018-11-06,SAO LUIS,MICRO EMPRESA,Fabricação de calçados de materiais não especificadosanteriormente
03794735,03794735000122,CENTRO DE FORMACAO DE CONDUTORES CAPITAL LTDA,2000-05-05,Ativa,2005-10-14,SAO LUIS,MICRO EMPRESA,Formação de condutores
03738235,03738235000173,ASSOCIACAO DOS TRABALHADORES RURAIS DO POVOADO COCALZINHO,2000-04-07,Baixada,2014-03-13,PEDRO DO ROSARIO,DEMAIS,Atividades de associações de defesa de direitos sociais
03816189,03816189000183,J. M. SANTOS ABREU,2000-05-11,Inapta,2018-09-18,SAO VICENTE FERRER,MICRO EMPRESA,Comércio varejista de materiais de construção em geral
03684535,03684535000117,MARIA DO D. S. CUNHA,2000-03-10,Baixada,2018-08-15,SAO LUIS,MICRO EMPRESA,Comercio varejista de artigos de armarinho
03740204,03740204000157,ASSOCIACAO DOS MICRO EMPRESARIOS DA BARRAGEM DO RIO FLORES,2000-04-07,Baixada,2015-02-09,JOSELANDIA,DEMAIS,Atividades de associações de defesa de direitos sociais
03798781,03798781000108,CAIXA ESCOLAR MUNICIPAL RAIMUNDO PIRES ALMEIDA,2000-05-10,Ativa,2019-04-10,MATOES DO NORTE,DEMAIS,Ensino fundamental
03713220,03713220000150,INSTITUTO MARANHENSE DE OTORRINOLARINGOLOGIA LTDA,2000-03-24,Inapta,2018-11-06,SAO LUIS,MICRO EMPRESA,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências"
03721623,03721623000141,G E DE SOUZA CONSTRUCOES,2000-03-28,Ativa,2005-11-03,SAO LUIS,MICRO EMPRESA,Construção de edifícios
03802882,03802882000105,R SAMIA DIAS DE SOUSA,2000-05-09,Ativa,2001-11-10,SAO MATEUS DO MARANHAO,EMPRESA DE PEQUENO PORTE,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas"
03784731,03784731000163,UNIDADE EXECUTORA CONSELHO ESCOLAR CANA BRAVA,2000-05-02,Ativa,2020-11-18,JENIPAPO DOS VIEIRAS,DEMAIS,Atividades de associações de defesa de direitos sociais
03740931,03740931000114,C. T . PEREIRA BARROS,2000-03-28,Ativa,2005-11-03,SAO LUIS,MICRO EMPRESA,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação
03735154,03735154000110,ASSOCIACAO COMUNITARIA DOS LAVRADORES DO POVOADO SANTO HILARIO,2000-03-31,Ativa,2005-11-03,TUTOIA,DEMAIS,Atividades de associações de defesa de direitos sociais
03712216,03712216000178,LEUDEMBERG RIBEIRO NOGUEIRA,1999-09-24,Inapta,2020-10-27,BARAO DE GRAJAU,MICRO EMPRESA,Construção de edifícios
03794920,03794920000117,R. E. SILVA DEQUEIXES,2000-04-28,Inapta,2018-09-18,SAO LUIS,MICRO EMPRESA,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas"
03742902,03742902000191,ASSOCIACAO COMUNITARIA NOSSA SENHORA DE FATIMA DO POVOADO DA PONTE,2000-04-05,Ativa,2020-09-21,PEDRO DO ROSARIO,DEMAIS,Atividades de associações de defesa de direitos sociais
03692443,03692443000189,COMERCIAL KISSER LTDA,2000-03-14,Baixada,2008-12-31,IMPERATRIZ,DEMAIS,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários"
03761427,03761427000109,PARTIDO DOS TRABALHADORES DE LAGO DO JUNCO,2000-04-19,Ativa,2000-04-19,LAGO DO JUNCO,DEMAIS,Atividades de organizações políticas
03786680,03786680000109,ASSOCIACAO DE MORADORES E PESCADORES ARTESANAIS DO BAIRRO BARRA,2000-04-03,Baixada,2008-12-31,TUTOIA,DEMAIS,Atividades de associações de defesa de direitos sociais
03753933,03753933000148,D. M. FERREIRA,2000-04-13,Ativa,2004-10-09,ROSARIO,MICRO EMPRESA,Comércio varejista de materiais de construção em geral
03747945,03747945000160,ASSOCIACAO DE PARTEIRAS TRADICIONAIS DA REGIAO DE TURIACU,2000-04-06,Baixada,2003-08-08,TURIACU,DEMAIS,Atividades de associações de defesa de direitos sociais
03821607,03821607000120,PARTIDO LIBERAL,2000-05-22,Baixada,2015-02-09,PORTO RICO DO MARANHAO,DEMAIS,Atividades de organizações políticas
03793035,03793035000113,V. PEREIRA NASCIMENTO,2000-05-03,Inapta,2019-02-01,PEDREIRAS,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03696202,03696202000108,MILENIO ENGENHARIA LIMITADA,2000-03-15,Ativa,2005-11-03,SAO LUIS,MICRO EMPRESA,Outras obras de engenharia civil não especificadas anteriormente
03816285,03816285000121,NILSON PONTES PEREIRA & CIA LTDA,2000-04-20,Inapta,2018-11-06,SAO LUIS,MICRO EMPRESA,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas"
03801550,03801550000106,UNIDADE ESCOLAR CREUSA MESQUITA,2000-05-08,Ativa,2015-06-12,VITORINO FREIRE,DEMAIS,Atividades de associações de defesa de direitos sociais
03791466,03791466000140,PLANEJA CONSULTORIA E ASSESSORIA EM DESENVOLVIMENTO SUSTENTAVEL,2000-05-05,Ativa,2000-05-05,SAO LUIS,DEMAIS,Atividades de associações de defesa de direitos sociais
03795742,03795742000149,FRANCISCO EMIDIO FILHO,2000-05-05,Inapta,2018-11-06,SAO LUIS,MICRO EMPRESA,Locação de automóveis sem condutor
03789539,03789539000160,ASSOCIACAO COMUNITARIA DA BACABA DO MUNICIPIO DE HUMBERTO DE CAMPOS/MA,1999-09-17,Inapta,2018-11-06,HUMBERTO DE CAMPOS,DEMAIS,Atividades de organizações políticas
03724553,03724553000185,A AUGUSTO SILVA,2000-03-29,Baixada,2008-12-31,SAO LUIS,DEMAIS,Comércio varejista de artigos de papelaria
03829290,03829290000179,MARGARIDA P. DE SOUSA,2000-05-23,Baixada,2010-01-11,SAO LUIS,MICRO EMPRESA,Comercio varejista de artigos de armarinho
03810129,03810129000153,CAIXA ESCOLAR DARCI RIBEIRO,2000-05-15,Inapta,2018-12-07,GRAJAU,DEMAIS,Atividades de associações de defesa de direitos sociais
03788246,03788246000168,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO -PMDB,2000-05-05,Baixada,2015-02-09,SAO RAIMUNDO DO DOCA BEZERRA,DEMAIS,Atividades de associações de defesa de direitos sociais
03800857,03800857000184,CONSELHO ESCOLAR DA ESCOLA MUNICIPALIZADA FUNDACAO EDUCACIONAL PIRANGI,2000-05-09,Ativa,2000-05-09,IMPERATRIZ,DEMAIS,Atividades de associações de defesa de direitos sociais
03708531,03708531000121,DAVID M. PAIXAO,2000-02-17,Baixada,2020-08-31,GOVERNADOR NUNES FREIRE,MICRO EMPRESA,Comércio varejista de artigos de viagem
03828789,03828789000161,PARTIDO SOCIAL DEMOCRATA,2000-05-24,Baixada,2015-02-09,FORTALEZA DOS NOGUEIRAS,DEMAIS,Atividades de organizações políticas
03824494,03824494000117,ESCOLA MUNICIPAL SANTA MARIA,2000-05-05,Inapta,2019-01-29,PINHEIRO,DEMAIS,Atividades de associações de defesa de direitos sociais
03805478,03805478000187,CONSELHO ESCOLAR RAIMUNDO AMELIA,2000-05-04,Ativa,2019-09-27,JENIPAPO DOS VIEIRAS,DEMAIS,Atividades de associações de defesa de direitos sociais
03738420,03738420000168,CONSTRUPINT - CONSTRUCAO E PINTURA LTDA,2000-04-01,Inapta,2019-01-17,COELHO NETO,DEMAIS,Impermeabilização em obras de engenharia civil
03797721,03797721000162,CAIXA ESCOLAR DA ESCOLA MARIA TEREZA CARVALHO WEBA,2000-05-10,Ativa,2019-07-03,SANTA HELENA,DEMAIS,Ensino fundamental
03757169,03757169000189,A. BARROS DA SILVA FILHO - DROGARIA,2000-04-18,Inapta,2018-09-18,TIMON,MICRO EMPRESA,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas"
03751304,03751304000189,CHAVEIRO BRAZ SENA LTDA,2000-04-12,Ativa,2005-11-03,SAO LUIS,MICRO EMPRESA,Chaveiros
03814303,03814303000136,UNIDADE EXECUTORA CONSELHO ESCOLAR ORLANDO AQUINO,2000-05-15,Ativa,2018-12-19,PRESIDENTE JUSCELINO,DEMAIS,Ensino fundamental
03695135,03695135000107,E. B. DA COSTA MATERIAIS DE CONSTRUCAO,2000-03-14,Inapta,2018-12-07,IMPERATRIZ,MICRO EMPRESA,Comércio varejista de materiais de construção não especificados anteriormente
03721106,03721106000172,PARTIDO SOCIAL DEMOCRATICO,2000-03-10,Inapta,2019-01-16,MARACACUME,DEMAIS,Atividades de organizações políticas
03769982,03769982000179,ALVES & AGUIAR LTDA,2000-04-11,Ativa,2020-01-26,SAO LUIS,MICRO EMPRESA,Comércio varejista de calçados
03832715,03832715000107,ENGEMATEX EQUIPAMENTOS INDUSTRIAIS LTDA,2000-05-12,Baixada,2015-02-09,SAO LUIS,DEMAIS,"Fabricação de equipamentos transmissores de comunicação, peças e acessórios"
03798124,03798124000152,A. C. VIEIRA,2000-05-09,Inapta,2018-12-07,IMPERATRIZ,DEMAIS,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente
03730171,03730171000164,Y KADOSAKI,2000-03-02,Baixada,2008-12-31,CENTRO NOVO DO MARANHAO,MICRO EMPRESA,Serrarias com desdobramento de madeira em bruto
03743206,03743206000108,COMPEL COMPENSADOS ESCOLARES LTDA,2000-04-06,Baixada,2007-08-16,ACAILANDIA,MICRO EMPRESA,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"
03793724,03793724000128,O SOUSA SANTANA,2000-05-08,Baixada,2015-02-09,BACABAL,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados"
03690536,03690536000174,ROBERDAN C SANTOS,2000-02-23,Baixada,2008-12-31,SAO LUIS,DEMAIS,Comércio varejista de outros produtos não especificados anteriormente
03781005,03781005000197,SOCIEDADE ESPORTIVA SAO CRISTOVAM DA VILA INDUSTRIAL,1999-05-03,Inapta,2018-09-18,SAO LUIS,DEMAIS,"Clubes sociais, esportivos e similares"
03814173,03814173000131,OTICA TERESINA LTDA,2000-05-08,Ativa,2005-11-03,TIMON,MICRO EMPRESA,Comércio varejista de artigos de óptica
03739790,03739790000110,ASSOCIACAO RURAL COMUNITARIA DO POVOADO SAO JOSE,2000-03-27,Baixada,2008-12-31,PAULO RAMOS,DEMAIS,Atividades de associações de defesa de direitos sociais
03706999,03706999000187,CLINICA DE DOENCAS RESPIRATORIAS E OTORRINOLARINGOLOGICAS,2000-02-17,Baixada,2019-08-22,SAO LUIS,MICRO EMPRESA,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências"
03748153,03748153000100,BAQUIL FARMA LTDA.,2000-04-04,Baixada,2002-10-24,SAO LUIS,DEMAIS,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas"
03789228,03789228000109,NILSON COSTA SANTOS,2000-04-28,Baixada,2008-12-31,SAO LUIS,MICRO EMPRESA,Serviços de manutenção e reparação mecânica de veículos automotores
03687405,03687405000138,W. O. REPRESENTACAO LTDA,2000-03-03,Inapta,2018-09-18,SAO LUIS,MICRO EMPRESA,"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo"
03760275,03760275000111,FRANCISCO CARREIRO DE MELO,2000-04-10,Ativa,2005-11-03,SAO LUIS,MICRO EMPRESA,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03821817,03821817000119,PARTIDO TRABALHISTA BRASILEIRO,2000-05-22,Baixada,2008-12-31,PORTO RICO DO MARANHAO,DEMAIS,Atividades de organizações políticas
03801383,03801383000195,DRIVE-IN ENTRETENIMENTO E DIVERSOES LTDA,2000-04-17,Ativa,2005-11-03,SAO LUIS,MICRO EMPRESA,Outras atividades de serviços pessoais não especificadas anteriormente
03766059,03766059000183,PARTIDO DA FRENTE LIBERAL,2000-04-18,Baixada,2015-02-09,BOA VISTA DO GURUPI,DEMAIS,Atividades de associações de defesa de direitos sociais
03684229,03684229000180,N. F. DOS SANTOS DERIVADOS DE PETROLEO,2000-03-02,Ativa,2005-11-03,HUMBERTO DE CAMPOS,DEMAIS,Comércio varejista de gás liqüefeito de petróleo (GLP)
03802685,03802685000188,PARTIDO LIBERAL,1999-08-31,Baixada,2015-02-09,PIO XII,DEMAIS,Atividades de organizações políticas
03764961,03764961000160,JOSE CARLOS CUTRIM FILHO,2000-04-14,Inapta,2018-11-06,SAO LUIS,MICRO EMPRESA,Comércio varejista especializado de equipamentos de telefonia e comunicação
03736258,03736258000149,A. UEULAME S. MARINHO,2000-03-30,Baixada,2015-02-09,SANTA LUZIA DO PARUA,DEMAIS,Comércio varejista de outros produtos não especificados anteriormente
03798730,03798730000178,M. R. D. SILVA - COMERCIO,2000-05-09,Ativa,2005-11-03,SENADOR LA ROCQUE,MICRO EMPRESA,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03773056,03773056000177,J. A. B. DOS SANTOS TRANSPORTE,2000-04-06,Ativa,2005-11-03,GRAJAU,MICRO EMPRESA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional"
03743910,03743910000152,FERNANDO CONSTRUCOES E SERVICOS EIRELI,2000-03-14,Ativa,2019-08-20,SAO JOSE DE RIBAMAR,MICRO EMPRESA,Comércio atacadista de cimento
03742591,03742591000160,PLANETA COMPUTADORES E SUPRIMENTOS LTDA,2000-04-07,Baixada,2017-01-11,SAO LUIS,MICRO EMPRESA,Comércio varejista de outros produtos não especificados anteriormente
03810003,03810003000189,INSTITUTOJOSE RIBAMAR DA SILVA,2000-05-11,Inapta,2019-02-01,CODO,DEMAIS,Atividades de associações de defesa de direitos sociais
03731660,03731660000130,G. S. MOREIRA COMERCIO E REPRESENTACOES,2000-03-31,Inapta,2018-11-06,SAO LUIS,MICRO EMPRESA,Comércio atacadista de medicamentos e drogas de uso humano
