QTD,data
1,1962-12-20
1,1963-03-06
1,1963-09-18
1,1963-09-26
1,1965-01-03
1,1965-09-21
4,1965-12-01
1,1965-12-30
23,1965-12-31
1,1966-01-09
1,1966-02-08
1,1966-02-18
1,1966-03-30
1,1966-05-03
1,1966-05-17
1,1966-05-25
1,1966-06-01
1,1966-06-09
1,1966-07-01
1,1966-07-05
1,1966-07-06
1,1966-07-07
1,1966-07-12
1,1966-07-15
1,1966-07-28
1,1966-07-29
26,1966-08-01
13,1966-08-02
7,1966-08-03
9,1966-08-04
5,1966-08-05
4,1966-08-06
27,1966-08-08
14,1966-08-09
12,1966-08-10
25,1966-08-11
22,1966-08-12
2,1966-08-13
1,1966-08-14
1,1966-08-15
20,1966-08-16
17,1966-08-17
18,1966-08-18
29,1966-08-19
2,1966-08-20
45,1966-08-22
18,1966-08-23
18,1966-08-24
22,1966-08-25
31,1966-08-26
1,1966-08-27
3,1966-08-28
24,1966-08-29
22,1966-08-30
14,1966-08-31
12,1966-09-01
11,1966-09-02
1,1966-09-04
19,1966-09-05
10,1966-09-06
31,1966-09-08
13,1966-09-09
2,1966-09-10
21,1966-09-12
13,1966-09-13
15,1966-09-14
17,1966-09-15
44,1966-09-16
1,1966-09-17
25,1966-09-19
34,1966-09-20
15,1966-09-21
19,1966-09-22
39,1966-09-23
4,1966-09-24
1,1966-09-25
37,1966-09-26
36,1966-09-27
25,1966-09-28
30,1966-09-29
66,1966-09-30
1,1966-10-04
12,1966-10-05
