"MUNICIPIO","QTD"
"ZE_DOCA",3929
"AFONSO_CUNHA",648
"GOVERNADOR_LUIZ_ROCHA",494
"ACAILANDIA",14191
"SAO_RAIMUNDO_DAS_MANGABEIRAS",1813
"BENEDITO_LEITE",546
"OLINDA_NOVA_DO_MARANHAO",937
"ALTO_ALEGRE_DO_PINDARE",1474
"PAULINO_NEVES",871
"SANTA_INES",11957
"SENADOR_ALEXANDRE_COSTA",554
"BARREIRINHAS",5149
"BELAGUA",599
"SAO_PEDRO_DA_AGUA_BRANCA",1073
"SAO_ROBERTO",325
"CURURUPU",2664
"DAVINOPOLIS",1329
"LAJEADO_NOVO",612
"SAO_DOMINGOS_DO_AZEITAO",685
"BACABEIRA",1495
"AMAPA_DO_MARANHAO",754
"SAO_JOAO_DOS_PATOS",2561
"CANDIDO_MENDES",1805
"SUCUPIRA_DO_NORTE",702
"SAO_LUIS_GONZAGA_DO_MARANHAO",1293
"ALCANTARA",1701
"PASSAGEM_FRANCA",1308
"SANTO_AMARO_DO_MARANHAO",910
"RAPOSA",3160
"CACHOEIRA_GRANDE",665
"SAO_FELIX_DE_BALSAS",359
"AGUA_DOCE_DO_MARANHAO",839
"CARUTAPERA",2212
"SANTA_LUZIA",5321
"BEQUIMAO",1550
"BREJO",2290
"GOVERNADOR_EDISON_LOBAO",1642
"BOM_JARDIM",2227
"SAO_JOAO_DO_CARU",800
"GRACA_ARANHA",488
"GONCALVES_DIAS",1098
"GODOFREDO_VIANA",1381
"BREJO_DE_AREIA",364
"COROATA",4975
"CAXIAS",15269
"SAO_BENEDITO_DO_RIO_PRETO",1135
"VIANA",4106
"TUFILANDIA",508
"MILAGRES_DO_MARANHAO",392
"PORTO_FRANCO",3636
"TUNTUM",2121
"GOVERNADOR_ARCHER",619
"ARAME",1648
"PRESIDENTE_VARGAS",858
"BALSAS",14397
"PORTO_RICO_DO_MARANHAO",584
"CIDELANDIA",1067
"ESTREITO",4615
"SAO_JOAO_BATISTA",1276
"FEIRA_NOVA_DO_MARANHAO",450
"TASSO_FRAGOSO",956
"CENTRO_DO_GUILHERME",793
"MORROS",1376
"ARARI",2488
"MIRADOR",1172
"MARAJA_DO_SENA",449
"SAO_LUIS",214233
"CAPINZAL_DO_NORTE",698
"LAGOA_GRANDE_DO_MARANHAO",720
"CONCEICAO_DO_LAGOACU",836
"ITAIPAVA_DO_GRAJAU",736
"JENIPAPO_DOS_VIEIRAS",669
"PASTOS_BONS",1309
"OLHO_DAGUA_DAS_CUNHAS",1223
"ICATU",1286
"SANTA_LUZIA_DO_PARUA",2123
"SANTA_HELENA",2593
"TIMBIRAS",1687
"BELA_VISTA_DO_MARANHAO",672
"NOVA_OLINDA_DO_MARANHAO",964
"LIMA_CAMPOS",951
"TRIZIDELA_DO_VALE",1652
"COLINAS",2893
"JUNCO_DO_MARANHAO",479
"GUIMARAES",1137
"PERI_MIRIM",947
"LAGO_DO_JUNCO",728
"JATOBA",371
"VARGEM_GRANDE",2594
"SANTA_RITA",2885
"ALDEIAS_ALTAS",1426
"ALTO_PARNAIBA",1641
"TUTOIA",3397
"NOVA_COLINAS",396
"DOM_PEDRO",2443
"ARAIOSES",2219
"LAGOA_DO_MATO",594
"BARAO_DE_GRAJAU",1352
"NOVA_IORQUE",332
"FORTALEZA_DOS_NOGUEIRAS",1314
"LAGO_DA_PEDRA",3711
"AXIXA",975
"PIO_XII",1719
"PRESIDENTE_JUSCELINO",828
"BOA_VISTA_DO_GURUPI",753
"CAROLINA",3504
"CENTRAL_DO_MARANHAO",620
"SENADOR_LA_ROCQUE",1154
"SAO_JOSE_DE_RIBAMAR",21712
"MAGALHAES_DE_ALMEIDA",1174
"PENALVA",1618
"ALTO_ALEGRE_DO_MARANHAO",1558
"LAGO_DOS_RODRIGUES",635
"JOSELANDIA",853
"CAJARI",1049
"IMPERATRIZ",57872
"LAGO_VERDE",973
"BACURI",1473
"SANTANA_DO_MARANHAO",541
"BURITI_BRAVO",1547
"PEDRO_DO_ROSARIO",1093
"SAO_JOAO_DO_SOTER",1032
"FORMOSA_DA_SERRA_NEGRA",870
"ITINGA_DO_MARANHAO",2408
"PARNARAMA",1888
"SAO_DOMINGOS_DO_MARANHAO",2173
"SAO_BENTO",2960
"SAO_BERNARDO",1943
"LUIS_DOMINGUES",798
"SERRANO_DO_MARANHAO",655
"GRAJAU",7245
"TURILANDIA",1336
"TURIACU",2909
"NINA_RODRIGUES",701
