"DATA_SITUACAO_CADASTRAL","URI_CLASSE_TIPO_SITUACAO","QTD"
10/06/29,"ACTIVE",1
29/03/38,"ACTIVE",1
13/01/47,"ACTIVE",1
20/01/48,"ACTIVE",1
30/12/61,"ACTIVE",1
03/01/65,"ACTIVE",1
31/12/65,"DOWN",1
01/06/66,"ACTIVE",1
25/07/66,"DOWN",1
09/08/66,"DOWN",1
19/08/66,"DOWN",1
22/08/66,"DOWN",1
15/09/66,"DOWN",1
20/09/66,"DOWN",1
21/09/66,"NULL",1
30/09/66,"DOWN",1
08/10/66,"DOWN",1
28/10/66,"DOWN",1
31/10/66,"DOWN",1
14/02/67,"DOWN",1
16/02/67,"DOWN",1
20/02/67,"DOWN",1
07/08/67,"DOWN",1
30/09/67,"DOWN",1
13/10/67,"ACTIVE",1
05/02/68,"DOWN",1
09/02/68,"DOWN",1
02/03/68,"DOWN",1
25/03/68,"DOWN",1
17/05/68,"DOWN",1
05/06/68,"DOWN",1
18/08/68,"DOWN",1
04/11/68,"DOWN",1
28/01/69,"DOWN",1
19/05/69,"DOWN",1
10/06/69,"DOWN",1
21/07/69,"DOWN",1
04/08/69,"DOWN",1
22/10/69,"DOWN",1
26/01/70,"DOWN",1
03/02/70,"DOWN",1
05/03/70,"DOWN",1
17/04/70,"DOWN",1
27/04/70,"DOWN",1
23/10/70,"DOWN",1
02/12/70,"DOWN",1
23/12/70,"NULL",1
18/01/71,"DOWN",2
23/03/71,"DOWN",1
15/04/71,"DOWN",1
20/04/71,"NULL",1
06/05/71,"NULL",1
19/05/71,"DOWN",1
01/07/71,"ACTIVE",1
09/07/71,"DOWN",1
27/07/71,"DOWN",1
09/08/71,"DOWN",1
19/08/71,"ACTIVE",1
15/09/71,"NULL",1
16/09/71,"DOWN",1
27/09/71,"DOWN",1
03/11/71,"DOWN",1
10/11/71,"DOWN",1
28/12/71,"DOWN",1
06/01/72,"DOWN",1
16/05/72,"DOWN",1
29/05/72,"DOWN",1
30/05/72,"DOWN",2
28/07/72,"DOWN",1
29/07/72,"DOWN",1
28/08/72,"DOWN",1
19/09/72,"DOWN",1
16/10/72,"DOWN",1
10/11/72,"DOWN",1
13/11/72,"DOWN",1
29/12/72,"DOWN",1
11/01/73,"DOWN",1
01/02/73,"DOWN",1
13/03/73,"DOWN",1
22/03/73,"DOWN",1
26/03/73,"DOWN",1
25/04/73,"DOWN",1
16/05/73,"DOWN",1
30/10/73,"SUSPENDED",1
29/11/73,"DOWN",1
07/12/73,"DOWN",1
11/12/73,"DOWN",1
12/12/73,"DOWN",1
26/12/73,"DOWN",1
29/01/74,"DOWN",1
12/02/74,"DOWN",1
14/03/74,"DOWN",1
01/04/74,"DOWN",1
27/04/74,"ACTIVE",1
07/05/74,"DOWN",1
17/05/74,"DOWN",1
28/05/74,"DOWN",1
25/06/74,"DOWN",1
28/06/74,"DOWN",1
05/07/74,"NULL",1
10/07/74,"DOWN",1
12/07/74,"DOWN",1
30/07/74,"DOWN",2
21/10/74,"DOWN",1
12/02/75,"DOWN",1
27/02/75,"NULL",1
05/03/75,"DOWN",1
18/03/75,"DOWN",1
20/03/75,"DOWN",1
26/03/75,"DOWN",1
02/05/75,"DOWN",1
23/05/75,"NULL",1
20/06/75,"NULL",1
27/06/75,"DOWN",2
30/06/75,"DOWN",1
07/07/75,"DOWN",1
07/07/75,"NULL",1
11/07/75,"DOWN",1
21/07/75,"DOWN",1
25/07/75,"DOWN",1
14/08/75,"DOWN",1
20/08/75,"DOWN",1
02/09/75,"DOWN",1
08/09/75,"DOWN",1
10/09/75,"DOWN",1
11/09/75,"DOWN",1
15/09/75,"DOWN",1
16/09/75,"DOWN",1
18/09/75,"DOWN",1
19/09/75,"DOWN",2
23/09/75,"DOWN",2
26/09/75,"DOWN",2
06/10/75,"DOWN",1
07/10/75,"DOWN",2
09/10/75,"DOWN",2
13/10/75,"DOWN",1
14/10/75,"DOWN",1
16/10/75,"DOWN",1
17/10/75,"DOWN",1
20/10/75,"DOWN",2
21/10/75,"DOWN",1
22/10/75,"DOWN",2
23/10/75,"DOWN",1
18/11/75,"DOWN",1
03/12/75,"DOWN",1
12/12/75,"DOWN",1
15/12/75,"ACTIVE",1
18/12/75,"DOWN",1
20/12/75,"DOWN",1
01/01/76,"DOWN",1
04/01/76,"DOWN",1
09/01/76,"DOWN",1
12/01/76,"DOWN",1
16/01/76,"DOWN",1
21/01/76,"ACTIVE",1
22/01/76,"DOWN",1
04/02/76,"DOWN",1
17/02/76,"DOWN",1
19/02/76,"DOWN",1
27/02/76,"NULL",1
05/03/76,"DOWN",1
08/03/76,"DOWN",1
09/03/76,"DOWN",1
12/03/76,"DOWN",1
15/03/76,"DOWN",1
16/03/76,"DOWN",1
18/03/76,"DOWN",1
29/03/76,"DOWN",1
01/04/76,"DOWN",1
02/04/76,"DOWN",1
05/04/76,"DOWN",1
07/04/76,"NULL",1
20/04/76,"DOWN",1
22/04/76,"DOWN",1
26/04/76,"DOWN",1
30/04/76,"DOWN",1
17/05/76,"DOWN",1
18/05/76,"DOWN",1
19/05/76,"DOWN",1
21/05/76,"DOWN",4
01/06/76,"DOWN",1
03/06/76,"DOWN",1
07/06/76,"DOWN",1
10/06/76,"DOWN",1
11/06/76,"DOWN",1
17/06/76,"DOWN",1
18/06/76,"DOWN",1
28/06/76,"DOWN",1
01/07/76,"DOWN",1
06/07/76,"DOWN",2
07/07/76,"DOWN",1
08/07/76,"DOWN",2
13/07/76,"DOWN",1
27/07/76,"DOWN",1
30/07/76,"DOWN",1
04/08/76,"DOWN",1
06/08/76,"DOWN",1
13/08/76,"NULL",1
26/08/76,"DOWN",1
27/08/76,"NULL",1
10/09/76,"DOWN",1
15/09/76,"DOWN",1
28/09/76,"DOWN",1
12/10/76,"DOWN",1
13/10/76,"DOWN",1
15/10/76,"DOWN",1
