,empresa,national_partner,international_partner
0,03683912-EMPORIO DA BELEZA LTDA,3,0
1,03684122-MORIA SERVICOS S/C LTDA,4,0
2,03684324-SPIDER IMPORT COMERCIO IMPORTACAO E EXPORTACAO LTDA,3,0
3,03684332-ORTOCLINICA DR. ALLAN GARCES LTDA,2,0
4,03684491-POLICLINICA DR.FREDDY R.ROJAS RIOJA LTDA,3,0
5,03684622-2ODONTO CLINICA LTDA,1,0
6,03684926-NOLASCO MATERIAIS P/ CONSTRUCAO LTDA.,2,0
7,03685094-CONSELHO ESCOLAR NOSSA SENHORA APARECIDA,2,0
8,03685129-T.T.S. TECNO TROLLEY SYSTEM DO BRASIL LTDA.,1,1
9,03685423-BOA VIAGEM LOCADORA DE VEICULOS LTDA,2,0
10,03685625-BODOQUENA DERIVADOS DE PETROLEO LTDA,3,0
11,03685628-RIO BAHIA MADEIRAS LTDA,2,0
12,03685888-AUTO POSTO H.P. CORNELIO LTDA,2,0
13,03686025-ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE QUEIMADAS - BAHIA,2,0
14,03686074-SAPEEL - SOCIEDADE AMAPAENSE DE PRODUCAO DE ENERGIA ELETRICA LTDA,1,0
15,03686445-M. THOM. COM. DE ARTIGOS DO VESTUARIO LTDA,2,0
16,03686568-CONSTRUTORA L M LTDA,2,0
17,03686686-COLLECTIVEMIND DO BRASIL LTDA,1,0
18,03686687-ECOLOGIA RECICLAGEM LTDA,3,0
19,03686720-MINERACAO DARDANELOS LTDA.,2,0
20,03686832-E-MEC SERVICOS DE PROJETOS LTDA,2,0
21,03686841-ICONE BRASIL INDUSTRIA E COMERCIO DE CONFECCOES LTDA,2,0
22,03686983-DROGAPLUS COMERCIAL FARMACEUTICA LTDA,4,0
23,03687117-ALLIANCEBERNSTEIN ADMINISTRADORA DE CARTEIRAS (BRASIL) LTDA.,2,0
24,03687143-ACTEGA DO BRASIL TINTAS E VERNIZES LTDA.,2,0
25,03687173-SPC - Q10 EMPREENDIMENTOS E PARTICIPACOES LTDA,2,0
26,03687435-SANTA RITA DE CASIA CONSTRUCAO & INCORPORACAO LTDA,2,0
27,03687481-AGROINDUSTRIAL TERRA DOS PALMARES LTDA,2,0
28,03687718-CIMENTERRA MATERIAIS DE CONSTRUCAO LTDA,3,0
